"class_var","Var","level","OR.CI","p_value","star","dep_var","or.ci.star"
"73","categorical","q7_a","是","1(0.74-1.36)",0.987778,"ns","firstyr_bv","1(0.74-1.36)"
"74","categorical","q8_a","否","1(0.73-1.36)",1,"ns","firstyr_bv","1(0.73-1.36)"
"75","categorical","q22_a","有","1.05(0.77-1.43)",0.745303,"ns","firstyr_bv","1.05(0.77-1.43)"
"76","categorical","q68_a","是","1.28(0.94-1.74)",0.116193,"ns","firstyr_bv","1.28(0.94-1.74)"
"77","categorical","AUDIT_C_4_a",">=4","1.8(1.32-2.46)",0.000221,"***","firstyr_bv","1.8(1.32-2.46)***"
"78","categorical","PHQ9_1yr_new","6-10","1.81(1.3-2.52)",0.000469,"***","firstyr_bv","1.81(1.3-2.52)***"
"79","categorical","PHQ9_1yr_new","11-14","1.56(1.08-2.25)",0.016721,"*","firstyr_bv","1.56(1.08-2.25)*"
"80","categorical","PHQ9_1yr_new","15以上","1.31(0.9-1.89)",0.156804,"ns","firstyr_bv","1.31(0.9-1.89)"
"81","numeric","q10_a","","0.86(0.6-1.22)",0.402912,"ns","firstyr_bv","0.86(0.6-1.22)"
"82","numeric","q22_0_a","","0.47(0.33-0.68)",4e-05,"***","firstyr_bv","0.47(0.33-0.68)***"
"83","numeric","firstrses","","0.84(0.59-1.2)",0.341915,"ns","firstyr_bv","0.84(0.59-1.2)"
"84","numeric","bis1_total","","2.1(1.47-3)",4.1e-05,"***","firstyr_bv","2.1(1.47-3)***"
"85","numeric","bis1_standardized","","2.1(1.47-3)",4.1e-05,"***","firstyr_bv","2.1(1.47-3)***"
"86","categorical","q3_a","男","1.5(1.12-2.01)",0.006803,"**","rec_bully_firstyr","1.5(1.12-2.01)**"
"87","categorical","q5_a","沒有","1.21(0.9-1.64)",0.202324,"ns","rec_bully_firstyr","1.21(0.9-1.64)"
"88","categorical","school_PR","PR<70","1.32(0.98-1.76)",0.065334,"ns","rec_bully_firstyr","1.32(0.98-1.76)"
"89","categorical","q6_a","沒有","1(0.74-1.34)",1,"ns","rec_bully_firstyr","1(0.74-1.34)"
"90","categorical","q7_a","是","1.08(0.8-1.44)",0.620185,"ns","rec_bully_firstyr","1.08(0.8-1.44)"
"91","categorical","q8_a","否","1.09(0.81-1.46)",0.564359,"ns","rec_bully_firstyr","1.09(0.81-1.46)"
"92","categorical","q22_a","有","1.01(0.75-1.35)",0.965647,"ns","rec_bully_firstyr","1.01(0.75-1.35)"
"93","categorical","q68_a","是","1.25(0.93-1.67)",0.139475,"ns","rec_bully_firstyr","1.25(0.93-1.67)"
"94","categorical","AUDIT_C_4_a",">=4","1.63(1.21-2.19)",0.001182,"**","rec_bully_firstyr","1.63(1.21-2.19)**"
"95","categorical","PHQ9_1yr_new","6-10","1.01(0.74-1.38)",0.944771,"ns","rec_bully_firstyr","1.01(0.74-1.38)"
"96","categorical","PHQ9_1yr_new","11-14","1(0.71-1.41)",1,"ns","rec_bully_firstyr","1(0.71-1.41)"
"97","categorical","PHQ9_1yr_new","15以上","1.1(0.77-1.56)",0.607384,"ns","rec_bully_firstyr","1.1(0.77-1.56)"
"98","numeric","q10_a","","0.83(0.46-1.49)",0.529781,"ns","rec_bully_firstyr","0.83(0.46-1.49)"
"99","numeric","q22_0_a","","0.56(0.31-1.01)",0.053996,"ns","rec_bully_firstyr","0.56(0.31-1.01)"
"100","numeric","firstrses","","0.9(0.5-1.61)",0.7205,"ns","rec_bully_firstyr","0.9(0.5-1.61)"
"101","numeric","bis1_total","","2.8(1.56-5.02)",0.000576,"***","rec_bully_firstyr","2.8(1.56-5.02)***"
"102","numeric","bis1_standardized","","2.8(1.56-5.02)",0.000576,"***","rec_bully_firstyr","2.8(1.56-5.02)***"
"103","categorical","q3_a","男","1.79(1.35-2.36)",4.2e-05,"***","rec_victim_firstyr","1.79(1.35-2.36)***"
"104","categorical","q5_a","沒有","1(0.76-1.32)",1,"ns","rec_victim_firstyr","1(0.76-1.32)"
"105","categorical","school_PR","PR<70","1.21(0.92-1.59)",0.177968,"ns","rec_victim_firstyr","1.21(0.92-1.59)"
"106","categorical","q6_a","沒有","1.11(0.84-1.47)",0.444191,"ns","rec_victim_firstyr","1.11(0.84-1.47)"
"107","categorical","q7_a","是","1.3(0.98-1.71)",0.064034,"ns","rec_victim_firstyr","1.3(0.98-1.71)"
"108","categorical","q8_a","否","1(0.76-1.32)",1,"ns","rec_victim_firstyr","1(0.76-1.32)"
"109","categorical","q22_a","有","1.07(0.81-1.41)",0.637119,"ns","rec_victim_firstyr","1.07(0.81-1.41)"
"110","categorical","q68_a","是","1.18(0.89-1.55)",0.247799,"ns","rec_victim_firstyr","1.18(0.89-1.55)"
"111","categorical","AUDIT_C_4_a",">=4","1.11(0.84-1.46)",0.471622,"ns","rec_victim_firstyr","1.11(0.84-1.46)"
"112","categorical","PHQ9_1yr_new","6-10","1.67(1.24-2.24)",0.000682,"***","rec_victim_firstyr","1.67(1.24-2.24)***"
"113","categorical","PHQ9_1yr_new","11-14","1.56(1.12-2.17)",0.008206,"**","rec_victim_firstyr","1.56(1.12-2.17)**"
"114","categorical","PHQ9_1yr_new","15以上","1.29(0.92-1.8)",0.133706,"ns","rec_victim_firstyr","1.29(0.92-1.8)"
"115","numeric","q10_a","","1.1(0.66-1.84)",0.704195,"ns","rec_victim_firstyr","1.1(0.66-1.84)"
"116","numeric","q22_0_a","","0.47(0.28-0.78)",0.003761,"**","rec_victim_firstyr","0.47(0.28-0.78)**"
"117","numeric","firstrses","","0.48(0.29-0.8)",0.004992,"**","rec_victim_firstyr","0.48(0.29-0.8)**"
"118","numeric","bis1_total","","2.24(1.34-3.73)",0.001991,"**","rec_victim_firstyr","2.24(1.34-3.73)**"
"119","numeric","bis1_standardized","","2.24(1.34-3.73)",0.001991,"**","rec_victim_firstyr","2.24(1.34-3.73)**"
