fmla,n,freq,cumulative_freq,AUC,Emax,
344,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.972,0.796,0.054
345,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ q68_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.972,0.793,0.1
346,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ q68_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.973,0.793,0.093
347,firstyrbully2 ~ victim_3group+ q8_a+ q5_a+ q68_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.974,0.795,0.064
348,firstyrbully2 ~ victim_3group+ q8_a+ q6_a+ bis1_standardized,1,5.00E-04,0.974,0.781,0.087
349,firstyrbully2 ~ victim_3group+ q8_a+ q6_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.974,0.79,0.048
350,firstyrbully2 ~ victim_3group+ q8_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.975,0.787,0.08
351,firstyrbully2 ~ victim_3group+ q8_a+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.976,0.788,0.073
352,firstyrbully2 ~ victim_3group+ q8_a+ q68_a+ bis1_standardized,1,5.00E-04,0.976,0.783,0.082
353,firstyrbully2 ~ victim_3group+ q8_a+ q7_a+ bis1_standardized,1,5.00E-04,0.976,0.782,0.076
354,firstyrbully2 ~ victim_3group+ q8_a+ q7_a+ PHQ9_1yr_new+ q22_0_a+ bis1_standardized,1,5.00E-04,0.977,0.786,0.134
355,firstyrbully2 ~ victim_3group+ q8_a+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.978,0.802,0.057
356,firstyrbully2 ~ victim_3group+ q8_a+ q7_a+ q6_a+ bis1_standardized,1,5.00E-04,0.978,0.782,0.073
357,firstyrbully2 ~ victim_3group+ school_PR+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.978,0.786,0.089
358,firstyrbully2 ~ victim_3group+ school_PR+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.979,0.783,0.136
359,firstyrbully2 ~ victim_3group+ school_PR+ q22_0_a+ bis1_standardized,1,5.00E-04,0.98,0.783,0.072
360,firstyrbully2 ~ victim_3group+ school_PR+ q5_a,1,5.00E-04,0.98,0.762,0.228
361,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ q68_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.98,0.798,0.099
362,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ q68_a+ bis1_standardized,1,5.00E-04,0.981,0.793,0.121
363,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ q68_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.982,0.794,0.089
364,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.982,0.796,0.081
365,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.982,0.8,0.047
366,firstyrbully2 ~ victim_3group+ school_PR+ q6_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.983,0.786,0.076
367,firstyrbully2 ~ victim_3group+ school_PR+ q6_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.984,0.796,0.088
368,firstyrbully2 ~ victim_3group+ school_PR+ q6_a+ q5_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.984,0.793,0.044
369,firstyrbully2 ~ victim_3group+ school_PR+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.984,0.802,0.045
370,firstyrbully2 ~ victim_3group+ school_PR+ q6_a+ q5_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.985,0.793,0.073
371,firstyrbully2 ~ victim_3group+ school_PR+ q68_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.986,0.786,0.081
372,firstyrbully2 ~ victim_3group+ school_PR+ q68_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.986,0.787,0.054
373,firstyrbully2 ~ victim_3group+ school_PR+ q68_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.986,0.784,0.048
374,firstyrbully2 ~ victim_3group+ school_PR+ q68_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.987,0.784,0.065
375,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.988,0.788,0.104
376,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.988,0.787,0.072
377,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.988,0.794,0.043
378,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.989,0.797,0.075
379,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ bis1_standardized,1,5.00E-04,0.99,0.794,0.092
380,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.99,0.797,0.052
381,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.99,0.795,0.067
382,firstyrbully2 ~ victim_3group+ school_PR+ q7_a+ q5_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.991,0.796,0.044
383,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.992,0.788,0.069
384,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.992,0.789,0.044
385,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.992,0.793,0.039
386,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.993,0.789,0.145
387,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.994,0.797,0.096
388,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q5_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.994,0.794,0.054
389,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.994,0.8,0.036
390,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q5_a+ q68_a+ bis1_standardized,1,5.00E-04,0.995,0.794,0.119
391,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q6_a+ PHQ9_1yr_new+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.996,0.791,0.136
392,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized,1,5.00E-04,0.996,0.789,0.076
393,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q68_a+ bis1_standardized,1,5.00E-04,0.996,0.785,0.085
394,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q7_a+ bis1_standardized,1,5.00E-04,0.997,0.786,0.073
395,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q7_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.998,0.794,0.033
396,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q7_a+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.998,0.8,0.082
397,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q7_a+ q5_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,0.998,0.795,0.051
398,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q7_a+ q5_a+ q68_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,1,5.00E-04,0.999,0.8,0.078
399,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q7_a+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,1,0.802,0.045
400,firstyrbully2 ~ victim_3group+ school_PR+ q8_a+ q7_a+ q6_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,1,5.00E-04,1,0.804,0.049
