fmla,n,freq,cumulative_freq,AUC,Emax,
62,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ PHQ9_1yr_new+ bis1_standardized,7,0.0035,0.668,0.797,0.055
63,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ AUDIT_C_4_a+ bis1_standardized,7,0.0035,0.672,0.794,0.112
64,firstyrbully2 ~ victim_3group+ q5_a+ q68_a+ firstrses_standardized+ bis1_standardized,7,0.0035,0.676,0.792,0.101
65,firstyrbully2 ~ victim_3group+ school_PR+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,7,0.0035,0.679,0.787,0.111
66,firstyrbully2 ~ victim_3group+ AUDIT_C_4_a+ q22_0_a+ bis1_standardized,6,0.003,0.682,0.785,0.049
67,firstyrbully2 ~ victim_3group+ PHQ9_1yr_new+ firstrses_standardized+ bis1_standardized,6,0.003,0.685,0.783,0.105
68,firstyrbully2 ~ victim_3group+ q3_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,6,0.003,0.688,0.789,0.084
69,firstyrbully2 ~ victim_3group+ q3_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,6,0.003,0.691,0.79,0.06
70,firstyrbully2 ~ victim_3group+ q3_a+ PHQ9_1yr_new+ bis1_standardized,6,0.003,0.694,0.786,0.052
71,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ AUDIT_C_4_a+ bis1_standardized,6,0.003,0.697,0.79,0.124
72,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,6,0.003,0.7,0.799,0.065
73,firstyrbully2 ~ victim_3group+ q3_a+ school_PR+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,6,0.003,0.703,0.802,0.031
74,firstyrbully2 ~ victim_3group+ q5_a+ PHQ9_1yr_new+ bis1_standardized,6,0.003,0.706,0.79,0.073
75,firstyrbully2 ~ victim_3group+ school_PR+ PHQ9_1yr_new+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,6,0.003,0.709,0.791,0.04
76,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,6,0.003,0.712,0.797,0.085
77,firstyrbully2 ~ victim_3group+ school_PR+ q5_a+ q22_0_a+ bis1_standardized,6,0.003,0.715,0.793,0.072
78,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ AUDIT_C_4_a+ firstrses_standardized+ bis1_standardized,5,0.0025,0.718,0.797,0.078
79,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ bis1_standardized,5,0.0025,0.72,0.797,0.042
80,firstyrbully2 ~ victim_3group+ q3_a+ q5_a+ PHQ9_1yr_new+ AUDIT_C_4_a+ q22_0_a+ firstrses_standardized+ bis1_standardized,5,0.0025,0.722,0.801,0.029
81,firstyrbully2 ~ victim_3group+ q3_a+ q7_a+ q5_a+ q22_0_a+ bis1_standardized,5,0.0025,0.725,0.796,0.075
82,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ PHQ9_1yr_new+ bis1_standardized,5,0.0025,0.728,0.789,0.078
83,firstyrbully2 ~ victim_3group+ q3_a+ q8_a+ q5_a+ bis1_standardized,5,0.0025,0.73,0.794,0.081
